Date,Close,Open,High,Low,Volume,Daily_Return,SMA_20,RSI_14
2021-11-02,170.47,169.8,171.69,168.92,7170000.0,0.0039000000000000003,165.9105,70.23809523809524
2021-11-01,169.8,172.04,172.33,169.0,7440000.0,-0.0005,166.459,85.92233009708752
2021-10-29,169.89,171.18,172.24,169.39,8140000.000000001,-0.0028000000000000004,166.892,83.13953488372101
2021-10-28,170.36,168.3,170.51,167.96,7210000.0,0.0151,167.3135,81.43009605122748
2021-10-27,167.83,170.32,170.7,167.34,9850000.0,-0.0208,167.357,61.21707538601275
2021-10-26,171.4,171.0,172.49,170.54,8020000.0,0.0027,167.513,68.08669656203294
2021-10-25,170.94,172.71,172.96,170.48,10160000.0,-0.0049,167.8425,65.06646971935005
2021-10-22,171.78,170.03,172.09,169.7,8820000.0,0.013500000000000002,168.38550000000004,65.29713866471019
2021-10-21,169.5,170.75,171.33,168.68,8420000.0,-0.0078000000000000005,168.70800000000003,55.91194968553459
2021-10-20,170.84,168.3,170.87,167.46,8189999.999999999,0.013500000000000002,169.0265,58.95784543325528
2021-10-19,168.57,167.4,168.65,166.58,8050000.000000001,0.0121,169.187,48.644161593801854
2021-10-18,166.55,166.48,168.61,165.91,12670000.0,-0.0004,169.18650000000002,46.069182389937104
2021-10-15,166.61,165.35,167.17,164.14,14270000.0,0.0192,169.174,45.555555555555614
2021-10-14,163.47,161.75,164.01,160.06,15180000.0,0.015300000000000001,168.967,32.17171717171718
2021-10-13,161.0,164.07,165.41,160.6,22750000.0,-0.0264,168.63600000000002,28.680774425934274
2021-10-12,165.36,165.75,166.69,164.77,13030000.0,-0.0077,168.515,41.428571428571445
2021-10-11,166.64,170.8,171.29,166.46,12150000.0,-0.021,168.394,44.001476559616094
2021-10-08,170.22,170.02,171.34,169.29,8189999.999999999,0.0008,168.5025,49.76821192052978
2021-10-07,170.09,171.2,171.51,169.54,10200000.0,0.0063,168.59250000000003,54.06474820143883
2021-10-06,169.02,167.99,169.1,166.0,8690000.0,0.0021,168.517,45.296442687747046
2021-10-05,168.66,167.21,170.14,166.67,12290000.0,0.0102,168.42649999999998,45.476190476190474
2021-10-04,166.95,166.97,170.44,165.73,14120000.0,-0.0011,168.28400000000002,40.73647871116224
2021-10-01,167.13,164.0,168.3,163.6,11280000.0,0.021,168.14600000000002,45.056320400500624
2021-09-30,163.69,166.92,166.99,162.79,13170000.0,-0.013600000000000001,167.8125,36.28691983122362
2021-09-29,165.95,166.21,166.9,165.04,7780000.0,-0.0008,167.7185,44.97313891020721
2021-09-28,166.08,167.7,169.3,165.66,13390000.0,-0.0054,167.45250000000001,49.02772031443939
2021-09-27,166.98,165.0,167.4,164.61,13220000.0,0.0242,167.2545,50.739704118352606
2021-09-24,163.04,161.44,163.59,160.82,10100000.0,0.0115,166.8175,49.16698953893838
2021-09-23,161.18,158.0,161.71,157.67,12340000.0,0.0338,166.4015,50.357142857142875
2021-09-22,155.91,155.2,157.25,155.1,11240000.0,0.0192,165.655,31.903485254691645
2021-09-21,152.98,153.53,154.55,152.58,9000000.0,0.0001,164.8755,25.396253602305492
2021-09-20,152.96,153.89,154.56,150.49,15820000.0,-0.029900000000000003,164.196,14.338842975206617
2021-09-17,157.68,157.38,159.01,157.0,25610000.0,-0.0026,163.7495,28.447377561653354
2021-09-16,158.09,159.41,160.85,157.22,10880000.0,-0.0004,163.48049999999998,30.572342694632056
2021-09-15,158.16,156.72,158.69,156.47,11690000.0,0.0069,163.3385,31.142241379310335
2021-09-14,157.07,160.45,161.34,156.26,11690000.0,-0.0175,162.924,31.851579720793524
2021-09-13,159.86,158.53,160.05,158.07,10050000.0,0.0159,162.58499999999998,37.81428092524307
2021-09-10,157.36,160.56,160.72,157.22,8310000.000000001,-0.0115,161.942,39.0446521287643
2021-09-09,159.19,158.27,160.83,158.08,7900000.0,0.0044,161.397,38.12368236120872
2021-09-08,158.5,158.89,159.58,158.04,7850000.0,-0.0045000000000000005,160.871,36.940041350792505
2021-09-07,159.21,159.99,161.38,158.96,9290000.0,-0.0018,160.3985,36.524453694068704
2021-09-03,159.49,160.39,160.89,159.15,7960000.0,-0.006,160.0255,42.947953913388986
2021-09-02,160.46,160.02,161.61,159.43,8820000.0,0.0046,159.692,48.5172981878089
2021-09-01,159.72,160.22,160.76,158.97,8730000.0,-0.0014000000000000002,159.49349999999998,59.64556962025317
2021-08-31,159.95,160.44,161.37,159.35,12340000.0,-0.0031,159.1935,70.43988269794723
2021-08-30,160.44,163.21,163.49,159.88,7940000.0,-0.016,158.9115,71.34703196347027
2021-08-27,163.05,161.75,163.16,161.26,8780000.0,0.008,158.71499999999997,67.42375081116157
2021-08-26,161.75,162.26,163.83,161.15,11030000.0,0.0052,158.6505,61.226993865030636
2021-08-25,160.92,158.51,161.78,157.8,11340000.0,0.0206,158.6375,58.08909730363417
